title,category,price,availability,rating,product_url,image_url,scrape_timestamp
A Light in the Attic,Poetry,£51.77,In stock (22 available),3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,2026-08-07T07:53:35+00:00
Tipping the Velvet,Historical Fiction,£53.74,In stock (20 available),1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,2026-08-07T07:53:35+00:00
Soumission,Fiction,£50.10,In stock (20 available),1,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,2026-08-07T07:53:35+00:00
Sharp Objects,Mystery,£47.82,In stock (20 available),4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,2026-08-07T07:53:35+00:00
Sapiens: A Brief History of Humankind,History,£54.23,In stock (20 available),5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,2026-08-07T07:53:35+00:00
The Requiem Red,Young Adult,£22.65,In stock (19 available),1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,2026-08-07T07:53:35+00:00
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,In stock (19 available),4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,2026-08-07T07:53:35+00:00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,In stock (19 available),3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,2026-08-07T07:53:35+00:00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,In stock (19 available),4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,2026-08-07T07:53:35+00:00
The Black Maria,Poetry,£52.15,In stock (19 available),1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,2026-08-07T07:53:35+00:00
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99,In stock (19 available),2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,2026-08-07T07:53:35+00:00
Shakespeare's Sonnets,Poetry,£20.66,In stock (19 available),4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,2026-08-07T07:53:35+00:00
Set Me Free,Young Adult,£17.46,In stock (19 available),5,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,2026-08-07T07:53:35+00:00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,In stock (19 available),5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,2026-08-07T07:53:35+00:00
Rip it Up and Start Again,Music,£35.02,In stock (19 available),5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,2026-08-07T07:53:35+00:00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,In stock (19 available),3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,2026-08-07T07:53:35+00:00
Olio,Poetry,£23.88,In stock (19 available),1,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,2026-08-07T07:53:35+00:00
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,In stock (19 available),1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,2026-08-07T07:53:35+00:00
Libertarianism for Beginners,Politics,£51.33,In stock (19 available),2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,https://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,2026-08-07T07:53:35+00:00
It's Only the Himalayas,Travel,£45.17,In stock (19 available),2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,2026-08-07T07:53:35+00:00
